Query,URL,Function Rating,Custom Rating
Latest advancements in AI,https://example.com/ai-news,2,2
Climate change effects,https://example.com/climate-change,5,1
Stock market trends,https://example.com/stock-market,2,4
Healthy diet tips,https://example.com/healthy-diet,2,3
Best programming languages,https://example.com/programming,5,1
Space exploration updates,https://example.com/space,1,2
Cybersecurity threats,https://example.com/cybersecurity,2,2
Electric vehicle advancements,https://example.com/ev,4,2
Blockchain technology,https://example.com/blockchain,3,5
Mental health awareness,https://example.com/mental-health,3,1
